"","game_id","season","week","team","opponent","touchdowns","point_diff2","winner"
"1507","2015_12_PHI_DET",2015,12,"DET","PHI",6,31,"DET"
"1508","2015_12_PIT_SEA",2015,12,"SEA","PIT",6,9,"SEA"
"1509","2015_12_SD_JAX",2015,12,"JAX","LAC",2,-6,"LAC"
"1510","2015_12_STL_CIN",2015,12,"CIN","LA",4,24,"CIN"
"1511","2015_12_TB_IND",2015,12,"IND","TB",2,13,"IND"
"1512","2015_13_ARI_STL",2015,13,"LA","ARI",0,-24,"ARI"
"1513","2015_13_ATL_TB",2015,13,"TB","ATL",3,4,"TB"
"1514","2015_13_BAL_MIA",2015,13,"MIA","BAL",2,2,"MIA"
"1515","2015_13_CAR_NO",2015,13,"NO","CAR",5,-3,"CAR"
"1516","2015_13_CIN_CLE",2015,13,"CLE","CIN",0,-34,"CIN"
"1517","2015_13_DAL_WAS",2015,13,"WAS","DAL",1,-3,"DAL"
"1518","2015_13_DEN_SD",2015,13,"LAC","DEN",0,-14,"DEN"
"1519","2015_13_GB_DET",2015,13,"DET","GB",2,-4,"GB"
"1520","2015_13_HOU_BUF",2015,13,"BUF","HOU",4,9,"BUF"
"1521","2015_13_IND_PIT",2015,13,"PIT","IND",5,35,"PIT"
"1522","2015_13_JAX_TEN",2015,13,"TEN","JAX",6,3,"TEN"
"1523","2015_13_KC_OAK",2015,13,"LV","KC",3,-14,"KC"
"1524","2015_13_NYJ_NYG",2015,13,"NYG","NYJ",2,-3,"NYJ"
"1525","2015_13_PHI_NE",2015,13,"NE","PHI",4,-7,"PHI"
"1526","2015_13_SEA_MIN",2015,13,"MIN","SEA",1,-31,"SEA"
"1527","2015_13_SF_CHI",2015,13,"CHI","SF",2,-6,"SF"
"1528","2015_14_ATL_CAR",2015,14,"CAR","ATL",5,38,"CAR"
"1529","2015_14_BUF_PHI",2015,14,"PHI","BUF",2,3,"PHI"
"1530","2015_14_DAL_GB",2015,14,"GB","DAL",4,21,"GB"
"1531","2015_14_DET_STL",2015,14,"LA","DET",3,7,"LA"
"1532","2015_14_IND_JAX",2015,14,"JAX","IND",7,35,"JAX"
"1533","2015_14_MIN_ARI",2015,14,"ARI","MIN",2,3,"ARI"
"1534","2015_14_NE_HOU",2015,14,"HOU","NE",0,-21,"NE"
"1535","2015_14_NO_TB",2015,14,"TB","NO",2,-7,"NO"
"1536","2015_14_NYG_MIA",2015,14,"MIA","NYG",3,-7,"NYG"
