"","game_id","team","point_diff","week","season"
"159","2010_11_TB_SF","SF",-21,11,2010
"160","2010_11_WAS_TEN","TEN",-3,11,2010
"161","2010_12_CAR_CLE","CLE",1,12,2010
"162","2010_12_CIN_NYJ","NYJ",16,12,2010
"163","2010_12_GB_ATL","ATL",3,12,2010
"164","2010_12_JAX_NYG","NYG",4,12,2010
"165","2010_12_KC_SEA","SEA",-18,12,2010
"166","2010_12_MIA_OAK","LV",-16,12,2010
"167","2010_12_MIN_WAS","WAS",-4,12,2010
"168","2010_12_NE_DET","DET",-21,12,2010
"169","2010_12_NO_DAL","DAL",-3,12,2010
"170","2010_12_PHI_CHI","CHI",5,12,2010
"171","2010_12_PIT_BUF","BUF",-3,12,2010
"172","2010_12_SD_IND","IND",-22,12,2010
"173","2010_12_SF_ARI","ARI",-21,12,2010
"174","2010_12_STL_DEN","DEN",-3,12,2010
"175","2010_12_TB_BAL","BAL",7,12,2010
"176","2010_12_TEN_HOU","HOU",20,12,2010
"177","2010_13_ATL_TB","TB",-4,13,2010
"178","2010_13_BUF_MIN","MIN",24,13,2010
"179","2010_13_CAR_SEA","SEA",17,13,2010
"180","2010_13_CHI_DET","DET",-4,13,2010
"181","2010_13_CLE_MIA","MIA",-3,13,2010
"182","2010_13_DAL_IND","IND",-3,13,2010
"183","2010_13_DEN_KC","KC",4,13,2010
"184","2010_13_HOU_PHI","PHI",10,13,2010
"185","2010_13_JAX_TEN","TEN",-11,13,2010
"186","2010_13_NO_CIN","CIN",-4,13,2010
"187","2010_13_NYJ_NE","NE",42,13,2010
"188","2010_13_OAK_SD","LAC",-15,13,2010
"189","2010_13_PIT_BAL","BAL",-3,13,2010
"190","2010_13_SF_GB","GB",18,13,2010
"191","2010_13_STL_ARI","ARI",-13,13,2010
"192","2010_13_WAS_NYG","NYG",24,13,2010
"193","2010_14_ATL_CAR","CAR",-21,14,2010
"194","2010_14_BAL_HOU","HOU",-6,14,2010
"195","2010_14_CIN_PIT","PIT",16,14,2010
"196","2010_14_CLE_BUF","BUF",7,14,2010
"197","2010_14_DEN_ARI","ARI",30,14,2010
"198","2010_14_GB_DET","DET",4,14,2010
"199","2010_14_IND_TEN","TEN",-2,14,2010
"200","2010_14_KC_SD","LAC",31,14,2010
"201","2010_14_MIA_NYJ","NYJ",-4,14,2010
"202","2010_14_NE_CHI","CHI",-29,14,2010
"203","2010_14_NYG_MIN","MIN",-18,14,2010
"204","2010_14_OAK_JAX","JAX",7,14,2010
"205","2010_14_PHI_DAL","DAL",-3,14,2010
"206","2010_14_SEA_SF","SF",19,14,2010
"207","2010_14_STL_NO","NO",18,14,2010
"208","2010_14_TB_WAS","WAS",-1,14,2010
"209","2010_15_ARI_CAR","CAR",7,15,2010
"210","2010_15_ATL_SEA","SEA",-16,15,2010
"211","2010_15_BUF_MIA","MIA",-3,15,2010
"212","2010_15_CHI_MIN","MIN",-26,15,2010
"213","2010_15_CLE_CIN","CIN",2,15,2010
"214","2010_15_DEN_OAK","LV",16,15,2010
"215","2010_15_DET_TB","TB",-3,15,2010
"216","2010_15_GB_NE","NE",4,15,2010
"217","2010_15_HOU_TEN","TEN",14,15,2010
"218","2010_15_JAX_IND","IND",10,15,2010
"219","2010_15_KC_STL","LA",-14,15,2010
"220","2010_15_NO_BAL","BAL",6,15,2010
"221","2010_15_NYJ_PIT","PIT",-5,15,2010
"222","2010_15_PHI_NYG","NYG",-7,15,2010
"223","2010_15_SF_SD","LAC",27,15,2010
"224","2010_15_WAS_DAL","DAL",3,15,2010
"225","2010_16_BAL_CLE","CLE",-10,16,2010
"226","2010_16_CAR_PIT","PIT",24,16,2010
"227","2010_16_DAL_ARI","ARI",1,16,2010
"228","2010_16_DET_MIA","MIA",-7,16,2010
"229","2010_16_HOU_DEN","DEN",1,16,2010
"230","2010_16_IND_OAK","LV",-5,16,2010
"231","2010_16_MIN_PHI","PHI",-10,16,2010
"232","2010_16_NE_BUF","BUF",-31,16,2010
"233","2010_16_NO_ATL","ATL",-3,16,2010
"234","2010_16_NYG_GB","GB",28,16,2010
"235","2010_16_NYJ_CHI","CHI",4,16,2010
"236","2010_16_SD_CIN","CIN",14,16,2010
"237","2010_16_SEA_TB","TB",23,16,2010
"238","2010_16_SF_STL","LA",8,16,2010
"239","2010_16_TEN_KC","KC",20,16,2010
"240","2010_16_WAS_JAX","JAX",-3,16,2010
"241","2010_17_ARI_SF","SF",31,17,2010
"242","2010_17_BUF_NYJ","NYJ",31,17,2010
"243","2010_17_CAR_ATL","ATL",21,17,2010
"244","2010_17_CHI_GB","GB",7,17,2010
"245","2010_17_CIN_BAL","BAL",6,17,2010
"246","2010_17_DAL_PHI","PHI",-1,17,2010
"247","2010_17_JAX_HOU","HOU",17,17,2010
"248","2010_17_MIA_NE","NE",31,17,2010
"249","2010_17_MIN_DET","DET",7,17,2010
"250","2010_17_NYG_WAS","WAS",-3,17,2010
"251","2010_17_OAK_KC","KC",-21,17,2010
"252","2010_17_PIT_CLE","CLE",-32,17,2010
"253","2010_17_SD_DEN","DEN",-5,17,2010
"254","2010_17_STL_SEA","SEA",10,17,2010
"255","2010_17_TB_NO","NO",-10,17,2010
"256","2010_17_TEN_IND","IND",3,17,2010
"257","2010_18_BAL_KC","KC",-23,18,2010
"258","2010_18_GB_PHI","PHI",-5,18,2010
"259","2010_18_NO_SEA","SEA",5,18,2010
"260","2010_18_NYJ_IND","IND",-1,18,2010
"261","2010_19_BAL_PIT","PIT",7,19,2010
"262","2010_19_GB_ATL","ATL",-27,19,2010
"263","2010_19_NYJ_NE","NE",-7,19,2010
"264","2010_19_SEA_CHI","CHI",11,19,2010
"265","2010_20_GB_CHI","CHI",-7,20,2010
"266","2010_20_NYJ_PIT","PIT",5,20,2010
"267","2010_21_PIT_GB","GB",6,21,2010
"268","2011_01_ATL_CHI","CHI",18,1,2011
"269","2011_01_BUF_KC","KC",-34,1,2011
"270","2011_01_CAR_ARI","ARI",7,1,2011
"271","2011_01_CIN_CLE","CLE",-10,1,2011
"272","2011_01_DAL_NYJ","NYJ",3,1,2011
"273","2011_01_DET_TB","TB",-7,1,2011
"274","2011_01_IND_HOU","HOU",27,1,2011
"275","2011_01_MIN_SD","LAC",7,1,2011
"276","2011_01_NE_MIA","MIA",-14,1,2011
"277","2011_01_NO_GB","GB",8,1,2011
"278","2011_01_NYG_WAS","WAS",14,1,2011
"279","2011_01_OAK_DEN","DEN",-3,1,2011
"280","2011_01_PHI_STL","LA",-18,1,2011
"281","2011_01_PIT_BAL","BAL",28,1,2011
"282","2011_01_SEA_SF","SF",16,1,2011
"283","2011_01_TEN_JAX","JAX",2,1,2011
"284","2011_02_ARI_WAS","WAS",1,2,2011
"285","2011_02_BAL_TEN","TEN",13,2,2011
"286","2011_02_CHI_NO","NO",17,2,2011
"287","2011_02_CIN_DEN","DEN",2,2,2011
"288","2011_02_CLE_IND","IND",-8,2,2011
"289","2011_02_DAL_SF","SF",-3,2,2011
"290","2011_02_GB_CAR","CAR",-7,2,2011
"291","2011_02_HOU_MIA","MIA",-10,2,2011
"292","2011_02_JAX_NYJ","NYJ",29,2,2011
"293","2011_02_KC_DET","DET",45,2,2011
"294","2011_02_OAK_BUF","BUF",3,2,2011
