"","game_id","week","season","team","opponent","fg_pct","winner","point_diff_real"
"4442","2011_07_IND_NO",7,2011,"IND","NO",0,"NO",-55
"4443","2011_07_KC_OAK",7,2011,"KC","LV",0,"KC",28
"4444","2011_07_PIT_ARI",7,2011,"PIT","ARI",1,"PIT",12
"4445","2011_07_SD_NYJ",7,2011,"LAC","NYJ",0,"NYJ",-6
"4446","2011_07_SEA_CLE",7,2011,"SEA","CLE",1,"CLE",-3
"4447","2011_07_STL_DAL",7,2011,"LA","DAL",0,"DAL",-27
"4448","2011_07_WAS_CAR",7,2011,"WAS","CAR",1,"CAR",-13
"4449","2011_08_ARI_BAL",8,2011,"ARI","BAL",1,"BAL",-3
"4450","2011_08_CIN_SEA",8,2011,"CIN","SEA",1,"CIN",22
"4451","2011_08_CLE_SF",8,2011,"CLE","SF",1,"SF",-10
"4452","2011_08_DAL_PHI",8,2011,"DAL","PHI",0,"PHI",-27
"4453","2011_08_DET_DEN",8,2011,"DET","DEN",1,"DET",35
"4454","2011_08_IND_TEN",8,2011,"IND","TEN",1,"TEN",-17
"4455","2011_08_JAX_HOU",8,2011,"JAX","HOU",0,"HOU",-10
"4456","2011_08_MIA_NYG",8,2011,"MIA","NYG",1,"NYG",-3
"4457","2011_08_MIN_CAR",8,2011,"MIN","CAR",0.5,"MIN",3
"4458","2011_08_NE_PIT",8,2011,"NE","PIT",0.5,"PIT",-8
"4459","2011_08_NO_STL",8,2011,"NO","LA",0,"LA",-10
"4460","2011_08_SD_KC",8,2011,"LAC","KC",0.8,"KC",-3
"4461","2011_08_WAS_BUF",8,2011,"WAS","BUF",0,"BUF",-23
"4462","2011_09_ATL_IND",9,2011,"ATL","IND",1,"ATL",24
"4463","2011_09_BAL_PIT",9,2011,"BAL","PIT",0.75,"BAL",3
"4464","2011_09_CHI_PHI",9,2011,"CHI","PHI",1,"CHI",6
"4465","2011_09_CIN_TEN",9,2011,"CIN","TEN",1,"CIN",7
"4466","2011_09_CLE_HOU",9,2011,"CLE","HOU",1,"HOU",-18
"4467","2011_09_DEN_OAK",9,2011,"DEN","LV",0.5,"DEN",14
"4468","2011_09_GB_SD",9,2011,"GB","LAC",1,"GB",7
"4469","2011_09_MIA_KC",9,2011,"MIA","KC",1,"MIA",28
"4470","2011_09_NYG_NE",9,2011,"NYG","NE",1,"NYG",4
"4471","2011_09_NYJ_BUF",9,2011,"NYJ","BUF",0.666666666666667,"NYJ",16
"4472","2011_09_SEA_DAL",9,2011,"SEA","DAL",0.666666666666667,"DAL",-10
"4473","2011_09_SF_WAS",9,2011,"SF","WAS",1,"SF",8
"4474","2011_09_STL_ARI",9,2011,"LA","ARI",0.75,"ARI",-6
"4475","2011_09_TB_NO",9,2011,"TB","NO",1,"NO",-11
"4476","2011_10_ARI_PHI",10,2011,"ARI","PHI",0,"ARI",4
"4477","2011_10_BAL_SEA",10,2011,"BAL","SEA",0.333333333333333,"SEA",-5
"4478","2011_10_BUF_DAL",10,2011,"BUF","DAL",0,"DAL",-37
"4479","2011_10_DEN_KC",10,2011,"DEN","KC",0.5,"DEN",7
"4480","2011_10_DET_CHI",10,2011,"DET","CHI",1,"CHI",-24
"4481","2011_10_HOU_TB",10,2011,"HOU","TB",0.5,"HOU",28
"4482","2011_10_JAX_IND",10,2011,"JAX","IND",0.5,"JAX",14
"4483","2011_10_MIN_GB",10,2011,"MIN","GB",0,"GB",-38
"4484","2011_10_NE_NYJ",10,2011,"NE","NYJ",1,"NE",21
"4485","2011_10_NO_ATL",10,2011,"NO","ATL",0.8,"NO",3
"4486","2011_10_NYG_SF",10,2011,"NYG","SF",1,"SF",-7
"4487","2011_10_OAK_SD",10,2011,"LV","LAC",1,"LV",7
"4488","2011_10_PIT_CIN",10,2011,"PIT","CIN",1,"PIT",7
"4489","2011_10_STL_CLE",10,2011,"LA","CLE",1,"LA",1
"4490","2011_10_TEN_CAR",10,2011,"TEN","CAR",1,"TEN",27
"4491","2011_10_WAS_MIA",10,2011,"WAS","MIA",0.6,"MIA",-11
